Cant,Producto,Total
1,Sandwich Hamburguesa Rodeo,7550
1,Mojito Tradicional,4900
1,Sandwich Churrasco Mexicano,7650
1,Bebida Lata 350 CC,2200
1,Sandwich Churrasco A lo Pobre,7200
1,Cerveza Importada 500cc,3200
1,Fuente Loncomilla,8000
1,Jugo Natural,2200
1,Sandwich Churrasco Rodeo,7950
1,Jugo Natural,2200
1,Super American Burger,8000
1,Majito Tradicional,4900
1,Sandwich Churrasco Rodeo,7950
1,Sandwich Churrasco Rodeo,7950
1,Bebida 1.5 L,3500
1,Papas fritas Grande,3200
1,Papas cheddar x1 carne,16990
1,Empanadas/Queso/4 ón/Ciboulette x6,5200
I,Empanadas/Queso/Camar ón/Ciboulette x6,5200
1,Empanadas/Queso/Camar ón/Ciboulette x6,5200
1,Mojito Tradicional,4900
1,Fuente Loncomilla,8000
1,Sandwich Hamburguesa Rodeo,7550
1,Papas fritas Grande,3200
1,Sandwich Churrasco Chacarero,6900
1,Sandwich Churrasco Barros Luco,7300
1,Té,1200
1,Té,1200
1,Energética,2200
Total,General Mesa,163590
Consumo,Cliente,163590
Propina,Sugerida,16359
Total,c/propina,179949
